time,dice,epoch,samples_read
1719346213.5616736,-16.842985153198242,0,1
1719346214.2201645,-16.785890579223633,0,2
1719346215.526308,-16.772119522094727,0,3
1719346216.8481116,-16.695341110229492,0,4
1719346218.1560445,-16.70348358154297,0,5
1719346219.5598478,-16.58199119567871,0,6
1719346220.8294814,-16.776226043701172,0,7
1719346222.121843,-16.582950592041016,0,8
1719346223.3954163,-16.622089385986328,0,9
1719346224.7067785,-16.516420364379883,0,10
1719346230.1249049,-16.471376419067383,1,11
1719346231.3791783,-16.522348403930664,1,12
1719346232.7395716,-16.471540451049805,1,13
1719346234.130615,-16.420412063598633,1,14
1719346235.4438968,-16.502344131469727,1,15
1719346236.7290878,-16.37982177734375,1,16
1719346238.0861595,-16.48041534423828,1,17
1719346239.4690437,-16.417163848876953,1,18
1719346240.7624843,-16.406538009643555,1,19
1719346242.0915592,-16.394216537475586,1,20
1719346247.4754248,-16.3088321685791,2,21
1719346248.828444,-16.369131088256836,2,22
1719346250.1823304,-16.309650421142578,2,23
1719346251.471034,-16.436124801635742,2,24
1719346252.7882288,-16.404325485229492,2,25
1719346254.1333492,-16.37921142578125,2,26
1719346255.4264488,-16.355134963989258,2,27
1719346256.7951484,-16.35063362121582,2,28
1719346258.1473973,-16.399686813354492,2,29
1719346259.5010355,-16.262351989746094,2,30
1719346264.957852,-16.51706314086914,3,31
1719346266.261171,-16.334117889404297,3,32
1719346267.5598176,-16.360069274902344,3,33
1719346268.9753635,-16.421892166137695,3,34
1719346270.2991083,-16.435941696166992,3,35
1719346271.63309,-16.316625595092773,3,36
1719346272.9357667,-16.328567504882812,3,37
1719346274.2845023,-16.221721649169922,3,38
1719346275.579365,-16.32813262939453,3,39
1719346276.9225028,-16.23546600341797,3,40
1719346282.2866893,-16.288379669189453,4,41
1719346283.6156044,-16.209850311279297,4,42
1719346284.9808712,-16.20798110961914,4,43
1719346286.2584531,-16.38836097717285,4,44
1719346287.5843945,-16.30040740966797,4,45
1719346288.909608,-16.347612380981445,4,46
1719346290.2656355,-16.247325897216797,4,47
1719346291.5550272,-16.11060333251953,4,48
1719346292.8887157,-16.301103591918945,4,49
1719346294.2734065,-16.15644645690918,4,50
1719346299.7765424,-16.181459426879883,5,51
1719346301.04296,-16.21450424194336,5,52
1719346302.3950913,-16.253156661987305,5,53
1719346303.7204437,-16.257659912109375,5,54
1719346305.0698876,-16.171920776367188,5,55
1719346306.3487518,-16.149417877197266,5,56
1719346307.7242863,-16.069398880004883,5,57
1719346309.0383663,-16.331905364990234,5,58
1719346310.3403904,-16.226852416992188,5,59
1719346311.6324685,-16.327468872070312,5,60
1719346317.0995705,-16.346120834350586,6,61
1719346318.423843,-16.22190284729004,6,62
1719346319.7686548,-16.281452178955078,6,63
1719346321.049334,-16.270511627197266,6,64
1719346322.4064348,-16.16507911682129,6,65
1719346323.7148619,-16.181259155273438,6,66
1719346325.0648596,-16.100006103515625,6,67
1719346326.3448033,-16.2055606842041,6,68
1719346327.6930623,-16.122211456298828,6,69
1719346329.0723655,-16.276813507080078,6,70
1719346334.595577,-16.091737747192383,7,71
